Município,Classificação de % em relação a população geral,% em relação a população geral,% em relação a população geral,População,Total Doses Aplicadas D1 + Única
MESÓPOLIS,89,78,372703412,78,372703412,1905,1493
NATIVIDADE DA SERRA,90,78,199337549,78,199337549,6642,5194
SANTA ALBERTINA,91,78,196612421,78,196612421,6022,4709
PARANAPUÃ,92,78,095238095,78,095238095,4095,3198
LAVÍNIA,93,78,005698006,78,005698006,12285,9583
GABRIEL MONTEIRO,94,77,953890490,77,953890490,2776,2164
SÃO JOÃO DA BOA VISTA,95,77,933116126,77,933116126,91771,71520
PALMEIRA D'OESTE,96,77,717568007,77,717568007,9227,7171
GÁLIA,97,77,630361000,77,630361000,6482,5032
ROSANA,98,77,593513912,77,593513912,16281,12633
CUNHA,99,77,473321217,77,473321217,21459,16625
PONGAÍ,100,77,411764706,77,411764706,3400,2632
DOURADO,101,77,269655328,77,269655328,8878,6860
ITANHAÉM,102,77,234195263,77,234195263,103102,79630
MIRASSOLÂNDIA,103,77,210815206,77,210815206,4919,3798
JALES,104,77,207780330,77,207780330,49201,37987
ALTO ALEGRE,105,77,201565558,77,201565558,4088,3156
LUTÉCIA,106,77,200303490,77,200303490,2636,2035
MONTE ALEGRE DO SUL,107,77,142152632,77,142152632,8111,6257
SÃO PAULO,108,77,137322851,77,137322851,12325232,9507354
OSCAR BRESSANE,109,76,988090665,76,988090665,2603,2004
JOANÓPOLIS,110,76,915579547,76,915579547,13338,10259
VITÓRIA BRASIL,111,76,868905742,76,868905742,1846,1419
OCAUÇU,112,76,811931951,76,811931951,4291,3296
CORONEL MACEDO,113,76,785329018,76,785329018,4635,3559
ITAOCA,114,76,726726727,76,726726727,3330,2555
MOCOCA,115,76,725137721,76,725137721,68980,52925
MAIRINQUE,116,76,653105963,76,653105963,47441,36365
HOLAMBRA,117,76,617338921,76,617338921,15272,11701
OLÍMPIA,118,76,617086886,76,617086886,55130,42239
SÃO JOSÉ DO RIO PRETO,119,76,572476843,76,572476843,464983,356049
ÁGUAS DE SANTA BÁRBARA,120,76,559174988,76,559174988,6109,4677
SÃO CAETANO DO SUL,121,76,514136468,76,514136468,161957,123920
TUPÃ,122,76,483147781,76,483147781,65570,50150
AVARÉ,123,76,451245177,76,451245177,91232,69748
ANDRADINA,124,76,187895528,76,187895528,57202,43581
MATÃO,125,76,182048645,76,182048645,83626,63708
LUCIANÓPOLIS,126,76,154806492,76,154806492,2403,1830
ITAPIRA,127,76,138448042,76,138448042,75234,57282
PEDRINHAS PAULISTA,128,76,136730087,76,136730087,3101,2361
BARRETOS,129,76,125308345,76,125308345,122833,93507
SÃO BENTO DO SAPUCAÍ,130,76,122280364,76,122280364,10893,8292
REDENÇÃO DA SERRA,131,76,087522792,76,087522792,3839,2921
BARRA BONITA,132,76,075402757,76,075402757,36126,27483
ONDA VERDE,133,76,074174582,76,074174582,4422,3364
AMPARO,134,76,073585866,76,073585866,72677,55288
FERNANDO PRESTES,135,76,009665171,76,009665171,5794,4404
IACRI,136,75,996822875,75,996822875,6295,4784
JUNQUEIRÓPOLIS,137,75,939705247,75,939705247,20831,15819
JARINU,138,75,928405788,75,928405788,30617,23247
PRESIDENTE PRUDENTE,139,75,902782902,75,902782902,230371,174858
INDAIATUBA,140,75,898338557,75,898338557,256223,194469
MOGI MIRIM,141,75,877202349,75,877202349,93650,71059
ARAPEÍ,142,75,853658537,75,853658537,2460,1866
SERRA NEGRA,143,75,835257368,75,835257368,29452,22335
PONTES GESTAL,144,75,785797439,75,785797439,2577,1953
RAFARD,145,75,727941984,75,727941984,9101,6892
IPIGUÁ,146,75,712198685,75,712198685,5476,4146
PIRAJU,147,75,703907061,75,703907061,29869,22612
AMÉRICO DE CAMPOS,148,75,672964387,75,672964387,5981,4526
IGARATÁ,149,75,571324220,75,571324220,9583,7242
BARÃO DE ANTONINA,150,75,557461407,75,557461407,3498,2643
SÃO CARLOS,151,75,531664073,75,531664073,254484,192216
ARARAQUARA,152,75,528134296,75,528134296,238339,180013
PARDINHO,153,75,491702520,75,491702520,6508,4913
ILHA COMPRIDA,154,75,488470340,75,488470340,11362,8577
TREMEMBÉ,155,75,474703441,75,474703441,47714,36012
SOCORRO,156,75,471561230,75,471561230,41352,31209
AREALVA,157,75,467316847,75,467316847,8613,6500
DRACENA,158,75,452245818,75,452245818,47043,35495
SÃO JOSÉ DO RIO PARDO,159,75,435382048,75,435382048,55124,41583
BALBINOS,160,75,429726997,75,429726997,5934,4476
UBIRAJARA,161,75,374687760,75,374687760,4804,3621
ARANDU,162,75,318146112,75,318146112,6365,4794
URUPÊS,163,75,309619816,75,309619816,13888,10459
FERNÃO,164,75,275043428,75,275043428,1727,1300
SANTO ANTÔNIO DA ALEGRIA,165,75,247240934,75,247240934,6977,5250
MIRANDÓPOLIS,166,75,244058439,75,244058439,29706,22352
SEBASTIANÓPOLIS DO SUL,167,75,211029826,75,211029826,3554,2673
SANTO EXPEDITO,168,75,183413078,75,183413078,3135,2357
SARUTAIÁ,169,75,179063361,75,179063361,3630,2729
DUMONT,170,75,177092687,75,177092687,10023,7535
JACI,171,75,166759311,75,166759311,7196,5409
MONTE CASTELO,172,75,156024964,75,156024964,4166,3131
LOURDES,173,75,086956522,75,086956522,2300,1727
ITU,174,75,050692609,75,050692609,175568,131765
BURITAMA,175,75,007233378,75,007233378,17281,12962
AGUDOS,176,75,006015882,75,006015882,37401,28053
ESTRELA DO NORTE,177,74,981949458,74,981949458,2770,2077
TAPIRATIBA,178,74,957528958,74,957528958,12950,9707
SALESÓPOLIS,179,74,918849988,74,918849988,17252,12925
SANTA RITA DO PASSA QUATRO,180,74,916666667,74,916666667,27600,20677
RIBEIRÃO GRANDE,181,74,879541607,74,879541607,7679,5750
VALENTIM GENTIL,182,74,852202187,74,852202187,13532,10129
SANTA ERNESTINA,183,74,838940587,74,838940587,5588,4182
BAURU,184,74,837660198,74,837660198,379297,283857
JAGUARIÚNA,185,74,799904635,74,799904635,58722,43924
DESCALVADO,186,74,789147744,74,789147744,33910,25361
SALTINHO,187,74,740855475,74,740855475,8393,6273
MARTINÓPOLIS,188,74,725852486,74,725852486,26628,19898
RIBEIRA,189,74,714714715,74,714714715,3330,2488
NOVA GUATAPORANGA,190,74,709677419,74,709677419,2325,1737
LARANJAL PAULISTA,191,74,698627758,74,698627758,28785,21502
SÃO JOÃO DAS DUAS PONTES,192,74,697383834,74,697383834,2561,1913
PINHALZINHO,193,74,688068625,74,688068625,15388,11493
RIBEIRÃO CORRENTE,194,74,642255892,74,642255892,4752,3547
POLONI,195,74,627842303,74,627842303,6113,4562
TRABIJU,196,74,626006904,74,626006904,1738,1297
SANTA CRUZ DA CONCEIÇÃO,197,74,625880282,74,625880282,4544,3391
IRAPURU,198,74,570570571,74,570570571,8325,6208
MIRASSOL,199,74,570087724,74,570087724,60303,44968
TANABI,200,74,560361672,74,560361672,26101,19461
MONTE MOR,201,74,538302005,74,538302005,60754,45285
INDIANA,202,74,441483911,74,441483911,4879,3632
RANCHARIA,203,74,423063984,74,423063984,29726,22123
JERIQUARA,204,74,389082831,74,389082831,3151,2344
BÁLSAMO,205,74,373563847,74,373563847,9139,6797
CATANDUVA,206,74,340596096,74,340596096,122497,91065
ILHA SOLTEIRA,207,74,320591310,74,320591310,26788,19909
SILVEIRAS,208,74,317715728,74,317715728,6339,4711
GUAPIARA,209,74,302496329,74,302496329,17025,12650
PAULICÉIA,210,74,295680172,74,295680172,7454,5538
ÁGUAS DA PRATA,211,74,248874833,74,248874833,8221,6104
IEPÊ,212,74,237246766,74,237246766,8194,6083
EMILIANÓPOLIS,213,74,186550976,74,186550976,3227,2394
SALES,214,74,153269861,74,153269861,6407,4751
GAVIÃO PEIXOTO,215,74,122533749,74,122533749,4815,3569
CABRÁLIA PAULISTA,216,74,122083432,74,122083432,4243,3145
ARARAS,217,74,105205674,74,105205674,135506,100417
TURIÚBA,218,74,059405941,74,059405941,2020,1496
URÂNIA,219,74,057017544,74,057017544,9120,6754
SERRANA,220,74,053544825,74,053544825,45644,33801
MANDURI,221,74,036326942,74,036326942,9910,7337
POTIRENDABA,222,74,000913451,74,000913451,17516,12962
AMERICANA,223,73,959788115,73,959788115,242018,178996
OSASCO,224,73,932057422,73,932057422,699944,517483
SANTA CRUZ DO RIO PARDO,225,73,856454540,73,856454540,47943,35409
ATIBAIA,226,73,824329576,73,824329576,144088,106372
MONTE ALTO,227,73,790672024,73,790672024,50772,37465
SUD MENNUCCI,228,73,693064182,73,693064182,7728,5695
NOVA ALIANÇA,229,73,670062252,73,670062252,7068,5207
REGISTRO,230,73,661624670,73,661624670,56393,41540
DIRCE REIS,231,73,652028905,73,652028905,1799,1325
NAZARÉ PAULISTA,232,73,628195529,73,628195529,18698,13767
PIRANGI,233,73,568128324,73,568128324,11471,8439
TAQUARAL,234,73,551368646,73,551368646,2813,2069
SAGRES,235,73,497942387,73,497942387,2430,1786
MIRA ESTRELA,236,73,470701867,73,470701867,3106,2282
BROTAS,237,73,465660010,73,465660010,24636,18099
SANTO ANTÔNIO DO PINHAL,238,73,443679508,73,443679508,6827,5014
OSVALDO CRUZ,239,73,436363636,73,436363636,33000,24234
SALTO,240,73,402318434,73,402318434,119736,87889
PALMITAL,241,73,397090517,73,397090517,22272,16347
OUROESTE,242,73,337128760,73,337128760,10539,7729
SANTA CRUZ DA ESPERANÇA,243,73,293079424,73,293079424,2153,1578
CRAVINHOS,244,73,214536665,73,214536665,35579,26049
ILHABELA,245,73,203899862,73,203899862,35591,26054
GENERAL SALGADO,246,73,163321672,73,163321672,10862,7947
MARÍLIA,247,73,136040567,73,136040567,240590,175958
ORIENTE,248,73,081626414,73,081626414,6542,4781
JOSÉ BONIFÁCIO,249,73,071776481,73,071776481,37366,27304
COLINA,250,73,029403831,73,029403831,18535,13536
PORTO FELIZ,251,73,027227445,73,027227445,53402,38998
MARINÓPOLIS,252,72,981956315,72,981956315,2106,1537
VERA CRUZ,253,72,955742400,72,955742400,10823,7896
ITOBI,254,72,949566989,72,949566989,7852,5728
PRESIDENTE ALVES,255,72,941176471,72,941176471,4080,2976
PEREIRA BARRETO,256,72,932975036,72,932975036,25677,18727
ELIAS FAUSTO,257,72,931534344,72,931534344,17936,13081
PENÁPOLIS,258,72,920620481,72,920620481,63757,46492
PIRACICABA,259,72,916768978,72,916768978,407252,296955
SÃO JOSÉ DO BARREIRO,260,72,852316602,72,852316602,4144,3019
BILAC,261,72,797831711,72,797831711,8117,5909
TATUÍ,262,72,741467223,72,741467223,122967,89448
REGENTE FEIJÓ,263,72,702755712,72,702755712,20394,14827
MONTE AZUL PAULISTA,264,72,690847744,72,690847744,18968,13788
CABREÚVA,265,72,686351107,72,686351107,50429,36655
PARAPUÃ,266,72,682436752,72,682436752,10949,7958
PILAR DO SUL,267,72,675328209,72,675328209,29402,21368
GUARAÇAÍ,268,72,653799759,72,653799759,8290,6023
CESÁRIO LANGE,269,72,625850340,72,625850340,18375,13345
SÃO JOÃO DE IRACEMA,270,72,619047619,72,619047619,1932,1403
QUINTANA,271,72,607655502,72,607655502,6688,4856
ARAÇATUBA,272,72,606736015,72,606736015,198129,143855
ITATIBA,273,72,600974050,72,600974050,122581,88995
PARIQUERA-AÇU,274,72,595446940,72,595446940,19723,14318
MORUNGABA,275,72,570930992,72,570930992,13781,10001
CANANÉIA,276,72,561996651,72,561996651,12541,9100
CAMPINA DO MONTE ALEGRE,277,72,560673601,72,560673601,6057,4395
ASSIS,278,72,558927365,72,558927365,105087,76250
IBIRÁ,279,72,543537306,72,543537306,12518,9081
UCHOA,280,72,524874397,72,524874397,10151,7362
ESPÍRITO SANTO DO PINHAL,281,72,476445324,72,476445324,44471,32231
CHAVANTES,282,72,435174746,72,435174746,12418,8995
SÃO JOSÉ DOS CAMPOS,283,72,422119202,72,422119202,729737,528491
ITAÍ,284,72,416185815,72,416185815,27382,19829
JUNDIAÍ,285,72,370368269,72,370368269,423006,306131
LUCÉLIA,286,72,306497304,72,306497304,21886,15825
LINS,287,72,271123397,72,271123397,78503,56735
PIRASSUNUNGA,288,72,269989724,72,269989724,76877,55559
SERTÃOZINHO,289,72,266442246,72,266442246,127142,91881
FARTURA,290,72,221530803,72,221530803,16070,11606
VALINHOS,291,72,206386708,72,206386708,131210,94742
APIAÍ,292,72,158012053,72,158012053,24226,17481
SANTO ANTÔNIO DE POSSE,293,72,102511794,72,102511794,23529,16965
ÁLVARES MACHADO,294,72,073765901,72,073765901,24998,18017
GUAÍRA,295,72,068713450,72,068713450,41040,29577
JABOTICABAL,296,72,021325916,72,021325916,77652,55926
LENÇÓIS PAULISTA,297,71,979997101,71,979997101,68990,49659
NOVO HORIZONTE,298,71,966001835,71,966001835,41414,29804
MACATUBA,299,71,929824561,71,929824561,17214,12382
TAQUARITINGA,300,71,924900635,71,924900635,57364,41259
RIO CLARO,301,71,846755894,71,846755894,208008,149447
GARÇA,302,71,825530861,71,825530861,44409,31897
LIMEIRA,303,71,794464507,71,794464507,308482,221473
VARGEM GRANDE DO SUL,304,71,767571329,71,767571329,43110,30939
JUMIRIM,305,71,767115272,71,767115272,3418,2453
MONÇÕES,306,71,724746361,71,724746361,2267,1626
CATIGUÁ,307,71,712285169,71,712285169,7855,5633
GETULINA,308,71,678168953,71,678168953,11447,8205
ZACARIAS,309,71,656976744,71,656976744,2752,1972
GUAPIAÇU,310,71,614236510,71,614236510,21775,15594
ITAPEVA,311,71,552888064,71,552888064,94804,67835
ARAMINA,312,71,547303271,71,547303271,5655,4046
PORANGABA,313,71,540677461,71,540677461,10067,7202
JARDINÓPOLIS,314,71,529908828,71,529908828,44970,32167
BORACÉIA,315,71,507806081,71,507806081,4868,3481
ICÉM,316,71,507707129,71,507707129,8304,5938
GUARATINGUETÁ,317,71,494224726,71,494224726,122505,87584
SABINO,318,71,482009263,71,482009263,5614,4013
BERTIOGA,319,71,430557916,71,430557916,64723,46232
TABAPUÃ,320,71,429715659,71,429715659,12485,8918
PIQUETE,321,71,410681400,71,410681400,13575,9694
PAULO DE FARIA,322,71,347248577,71,347248577,8959,6392
VIRADOURO,323,71,278329915,71,278329915,19017,13555
TEJUPÁ,324,71,253618348,71,253618348,4491,3200
MARACAÍ,325,71,245369051,71,245369051,14036,10000
CASA BRANCA,326,71,228702490,71,228702490,30520,21739
TORRINHA,327,71,221161496,71,221161496,10056,7162
BRODOWSKI,328,71,203069985,71,203069985,25277,17998
ITIRAPINA,329,71,175286887,71,175286887,18387,13087
MONTEIRO LOBATO,330,71,166950596,71,166950596,4696,3342
RIBEIRÃO PRETO,331,71,133635374,71,133635374,711825,506347
TARUMÃ,332,71,125601001,71,125601001,15183,10799
ITÁPOLIS,333,71,085366135,71,085366135,43331,30802
SARAPUÍ,334,71,077959577,71,077959577,10390,7385
CORDEIRÓPOLIS,335,71,062595666,71,062595666,24826,17642
BORBOREMA,336,71,040584014,71,040584014,16164,11483
POMPÉIA,337,71,026519935,71,026519935,22172,15748
ANHUMAS,338,71,018339768,71,018339768,4144,2943
IBITINGA,339,71,004950495,71,004950495,60600,43029
SÃO BERNARDO DO CAMPO,340,70,996929482,70,996929482,844483,599557
PEDREGULHO,341,70,971387782,70,971387782,16811,11931
